,Asset Class ,Fund Type,Fund,CCY,Advanced Ratio ,Beta,CAPM,Sharpe Ratio,SML_Value,Position
0,Fixed Income,U.S Inv Grade Corporate Bonds,AB American Income,USD,80,1.01,10.0,0.08,10.039,Below
1,Fixed Income,U.S Inv Grade Corporate Bonds,Schroder Global Credit Income,USD,80,1.21,11.19,0.14,12.018999999999998,Below
2,Fixed Income,U.S Inv Grade Corporate Bonds,PIMCO Income,USD,80,1.12,9.64,0.25,11.128,Below
3,Fixed Income,U.S Inv Grade Corporate Bonds,JPMorgan Income,USD,70,0.61,7.8,0.18,6.079,Above
4,Fixed Income,U.S High Yield Corporate Bonds,BlackRock Dynamic High Income,USD,70,0.99,11.72,0.15,9.841,Above
5,Fixed Income,U.S High Yield Corporate Bonds,PIMCO Global High Yield Bond,USD,60,0.77,9.05,0.21,7.663,Above
6,Fixed Income,U.S High Yield Corporate Bonds,Robeco High Yield Bonds,USD,70,0.8,8.87,0.41,7.960000000000001,Above
7,Fixed Income,U.S High Yield Corporate Bonds,Barings U.S. High Yield Bond,USD,60,0.98,9.82,-1.7,9.741999999999999,Above
8,Fixed Income,Emerging Markets Sovereign Debt,AXA Global Strategic Bonds,USD,80,0.71,8.93,0.02,7.069,Above
9,Fixed Income,Emerging Markets Sovereign Debt,HSBC Asian Bond,USD,70,0.78,8.63,-0.31,7.7620000000000005,Above
10,Fixed Income,Emerging Markets Sovereign Debt,BlackRock Asian Tiger Bond,USD,80,0.89,9.82,-0.19,8.850999999999999,Above
11,Fixed Income,Emerging Markets Sovereign Debt,HSBC GIF RMB Fixed Income USD,USD,80,0.93,9.29,0.09,9.247,Above
12,Fixed Income,Emerging Markets Sovereign Debt,BlackRock China Bond USD,USD,75,0.85,8.99,-0.04,8.455,Above
13,Fixed Income,Emerging Markets Sovereign Debt,Goldman Sachs Emerging Market Debt,USD,70,1.08,10.71,-0.03,10.732000000000001,Below
14,Fixed Income,Emerging Markets Sovereign Debt,HSBC Asia High Income Bond,USD,80,-0.00037,4.0,-0.4,0.036337,Above
15,Fixed Income,Emerging Markets Sovereign Debt,JPMorgan Emerging Markets Investment Grade Bond,USD,70,0.87,8.04,0.05,8.652999999999999,Below
16,Fixed Income,Emerging Markets Local Currency Debt,HSBC GIF RMB Fixed Income RMB,RMB,80,0.89,9.29,-1.98,8.850999999999999,Above
17,Fixed Income,Emerging Markets Local Currency Debt,BlackRock China Bond RMB,RMB,75,1.19,9.17,0.11,11.821,Below
18,Fixed Income,Emerging Markets Corporate Bonds,Schroder Asian Asset Income,SGD,70,0.027,4.16,0.3,0.30729999999999996,Above
19,Fixed Income,Emerging Markets Corporate Bonds,HSBC Asia Multi-Asset High Income,SGD,70,1.02,10.06,-0.61,10.138,Below
20,Fixed Income,Money Market Securities,HSBC USD Liquidity,USD,90,0.79,8.51,0.17,7.861000000000001,Above
21,Fixed Income,Money Market Securities,JPM SGD Liquidity,SGD,90,0.22,5.32,0.2,2.218,Above
22,Fixed Income,Money Market Securities,HSBC Global Money Fund - HKD,HKD,90,-7.9e-05,4.0,-1.59,0.0392179,Above
23,Equities,U.S Equity,Morgan Stanley US Advantage,USD,70,1.14,10.53,0.15,11.325999999999999,Below
24,Equities,U.S Equity,JPM US Value,USD,70,0.79,9.64,0.49,7.861000000000001,Above
25,Equities,U.S Equity,Morgan Stanley Global Quality,USD,70,0.81,8.81,0.59,8.059,Above
26,Equities,U.S Equity,Wellington Global Quality Growth,USD,70,0.71,9.05,0.49,7.069,Above
27,Equities,Japanese Equity,Pictet Japanese Equity Opportunities,JPY,70,1.1,10.18,0.22,10.93,Below
28,Equities,Japanese Equity,Pictet Japanese Equity Opportunities USD(H),USD,70,-0.0006,4.0,0.73,0.03406,Above
29,Equities,Japanese Equity,Pictet Japanese Equity Opportunities EUR(H),EUR,70,1.26,11.51,0.42,12.514,Below
30,Equities,AC Asia ex-Japan Equity,JPMorgan ASEAN,USD,70,0.93,9.82,0.09,9.247,Above
31,Equities,AC Asia ex-Japan Equity,FSSA Asian Equity Plus,USD,70,0.96,9.35,0.15,9.543999999999999,Below
32,Equities,AC Asia ex-Japan Equity,Wellington Asian Opportunities,USD,70,1.0,10.24,0.14,9.94,Above
33,Equities,AC Asia ex-Japan Equity,Schroder Asian Equity Yield,USD,70,1.05,10.12,0.16,10.435,Below
