,5899
Returns,9.288248382603744
Risk,0.14620060956854114
Sharpe Ratio,0.22874451365047951
AB American Income Weight,0.001269497607461385
Schroder Global Credit Income Weight,0.033097409293627277
PIMCO Income Weight,0.028923371009777578
JPMorgan Income Weight,0.005997758057658058
BlackRock Dynamic High Income Weight,0.03377411704254532
PIMCO Global High Yield Bond Weight,0.0013046918494926138
Robeco High Yield Bonds Weight,0.03363643711716843
Barings U.S. High Yield Bond Weight,0.010080363389741056
AXA Global Strategic Bonds Weight,0.010656274601752063
HSBC Asian Bond Weight,0.0158002083767062
BlackRock Asian Tiger Bond Weight,0.004751123686103174
HSBC GIF RMB Fixed Income USD Weight,0.009330530392698815
BlackRock China Bond USD Weight,0.016427437180701353
Goldman Sachs Emerging Market Debt Weight,0.03907370676932244
HSBC Asia High Income Bond Weight,0.0014909884931245782
JPMorgan Emerging Markets Investment Grade Bond Weight,0.0023335911361245707
HSBC GIF RMB Fixed Income RMB Weight,0.0007541849294838304
BlackRock China Bond RMB Weight,0.005605765306295672
Schroder Asian Asset Income Weight,0.005646221329289828
HSBC Asia Multi-Asset High Income Weight,0.012870878532634272
HSBC USD Liquidity Weight,0.009174299857532153
JPM SGD Liquidity Weight,0.022106552187725465
HSBC Global Money Fund - HKD Weight,0.010995688055677999
Morgan Stanley US Advantage Weight,0.023819108599294033
JPM US Value Weight,0.026586613540566507
Morgan Stanley Global Quality Weight,0.028709486094609955
Wellington Global Quality Growth Weight,0.034936266692798715
Pictet Japanese Equity Opportunities Weight,0.004768233419183798
Pictet Japanese Equity Opportunities USD(H) Weight,0.040946025834693714
Pictet Japanese Equity Opportunities EUR(H) Weight,0.0009775889470937688
JPMorgan ASEAN Weight,0.023422431551288262
FSSA Asian Equity Plus Weight,0.0223818869886119
Wellington Asian Opportunities Weight,0.01057756096719915
Schroder Asian Equity Yield Weight,0.021847087031777433
Invesco Asia Consumer Demand Weight,0.015210229484506566
Janus Henderson Horizon Global Technology Leaders Weight,0.01350132372913706
BlackRock Next Generation Technology Weight,0.013285291214163004
Pictet Digital (AI) Weight,0.03229157101303542
T.RowePrice Global Technology Equity Weight,0.03975536044733043
Credit Suisse Global Digital Health Equity Weight,0.026601268398562836
Credit Suisse Global Robotics Equity Weight,0.0031033370140134456
BNY Mellon Mobility Innovation Weight,0.016475101058728917
Neuberger Berman 5G Connectivity Weight,0.01853062556879248
Pictet Security Weight,0.009421729622632994
Wellington Global Health Care Equity Weight,0.00014817764932500985
Janus Henderson Global Life Sciences Weight,0.035622528966417426
Wellington Asia Technology Weight,0.026970725757968717
Schroder Global Sustainable Growth Weight,0.036127828367369864
Pictet Global Environmental Opportunities Weight,0.040094437776149225
RobecoSAM Sustainable Water Equities USD Weight,0.014205901740172224
Neuberger Berman Sustainable Asia High Yield Weight,0.0008093487639327919
BlackRock Sustainable Energy Weight,0.026083948749933396
Wellington Global Impact Weight,0.040988924333179855
Schroder Global Energy Transition Weight,0.0002777973855889097
BNP Paribas Green Tigers Weight,0.014171412645197915
HSBC GIF Global Equity Sustainable Healthcare Weight,4.617614896499956e-05
BNP Paribas Climate Impact Weight,0.003375661635625831
